Cruise,Station Name,Date,Time_ON,Time_OFF
BOLDA09,01,2009-08-10,22:42:00,23:08:00
BOLDA09,02,2009-08-11,00:12:00,00:29:00
BOLDA09,03,2009-08-10,21:54:00,22:20:00
BOLDA09,04,2009-08-11,01:21:00,01:36:00
BOLDA09,05,2009-08-10,20:23:00,21:12:00
BOLDA09,06,2009-08-11,01:57:00,02:11:00
BOLDA09,B3,2009-08-10,23:35:00,23:55:00
BOLDA09,C1,2009-08-11,00:42:00,00:57:00
BOLDA09,C2,2009-08-11,02:29:00,02:46:00
BOLDB09,01,2009-08-11,04:09:00,04:25:00
BOLDB09,02,2009-08-11,05:21:00,05:36:00
BOLDB09,03,2009-08-11,03:34:00,03:49:00
BOLDB09,05,2009-08-11,02:58:00,03:10:00
BOLDB09,06,2009-08-11,06:51:00,07:05:00
BOLDB09,B3,2009-08-11,04:48:00,05:06:00
BOLDB09,C1,2009-08-11,05:48:00,06:03:00
BOLDB09,C2,2009-08-11,07:27:00,07:38:00
BOLDC09,01,2009-08-11,09:13:00,09:30:00
BOLDC09,02,2009-08-11,12:09:00,12:20:00
BOLDC09,03,2009-08-11,08:34:00,08:51:00
BOLDC09,04,2009-08-11,13:16:00,13:25:00
BOLDC09,05,2009-08-11,07:57:00,08:09:00
BOLDC09,A4,2009-08-11,10:20:00,10:36:00
BOLDC09,B3,2009-08-11,11:27:00,11:47:00
BOLDC09,BLANK,2009-08-11,00:00:00,00:00:00
BOLDC09,C1,2009-08-11,12:36:00,12:49:00
BOLDC09,C2,2009-08-11,13:51:00,14:05:00
BOLDD09,01,2009-08-11,15:10:00,15:20:00
BOLDD09,02,2009-08-11,17:35:00,17:45:00
BOLDD09,03,2009-08-11,14:30:00,14:45:00
BOLDD09,04,2009-08-11,18:32:00,18:50:00
BOLDD09,06,2009-08-11,19:06:00,19:26:00
BOLDD09,A4,2009-08-11,16:11:00,16:26:00
BOLDD09,B3,2009-08-11,17:08:00,17:15:00
BOLDD09,C1,2009-08-11,18:00:00,18:08:00
BOLDD09,C2,2009-08-11,19:45:00,20:01:00
BOLDE09,01,2009-08-11,21:05:00,21:20:00
BOLDE09,02,2009-08-11,23:34:00,23:50:00
BOLDE09,03,2009-08-11,20:26:00,20:43:00
BOLDE09,04,2009-08-12,00:57:00,01:07:00
BOLDE09,06,2009-08-12,01:34:00,01:46:00
BOLDE09,A4,2009-08-11,22:10:00,22:26:00
BOLDE09,B3,2009-08-11,23:00:00,23:16:00
BOLDE09,BLANK,2009-08-11,00:00:00,00:00:00
BOLDE09,C1,2009-08-12,00:03:00,00:31:00
BOLDE09,C2,2009-08-12,02:04:00,02:16:00
BOLDF09,01,2009-08-12,03:13:00,03:25:00
BOLDF09,02,2009-08-12,06:22:00,06:34:00
BOLDF09,03,2009-08-12,02:36:00,02:50:00
BOLDF09,04,2009-08-12,07:36:00,07:45:00
BOLDF09,06,2009-08-12,08:10:00,08:23:00
BOLDF09,A4,2009-08-12,04:57:00,05:13:00
BOLDF09,B3,2009-08-12,05:50:00,06:04:00
BOLDF09,C1,2009-08-12,06:55:00,07:06:00
BOLDF09,C2,2009-08-12,08:41:00,09:00:00
BOLDG09,01,2009-08-12,10:28:00,10:44:00
BOLDG09,02,2009-08-12,11:43:00,11:54:00
BOLDG09,03,2009-08-12,09:53:00,10:09:00
BOLDG09,04,2009-08-12,12:53:00,13:04:00
BOLDG09,05,2009-08-12,09:17:00,09:25:00
BOLDG09,06,2009-08-12,13:27:00,13:40:00
BOLDG09,B3,2009-08-12,11:10:00,11:26:00
BOLDG09,BLANK,2009-08-12,00:00:00,00:00:00
BOLDG09,C1,2009-08-12,12:14:00,12:27:00
BOLDG09,C2,2009-08-12,13:56:00,14:12:00
BOLDH09,01,2009-08-12,15:32:00,15:44:00
BOLDH09,02,2009-08-12,16:58:00,17:07:00
BOLDH09,03,2009-08-12,14:58:00,15:12:00
BOLDH09,04,2009-08-12,18:07:00,18:19:00
BOLDH09,05,2009-08-12,14:27:00,14:37:00
BOLDH09,06,2009-08-12,18:42:00,18:56:00
BOLDH09,B3,2009-08-12,16:18:00,16:36:00
BOLDH09,C1,2009-08-12,17:21:00,17:40:00
BOLDH09,C2,2009-08-12,19:13:00,19:31:00
BOLDI09,01,2009-08-12,21:03:00,21:15:00
BOLDI09,02,2009-08-12,22:07:00,22:18:00
BOLDI09,03,2009-08-12,20:18:00,20:36:00
BOLDI09,04,2009-08-12,23:11:00,23:22:00
BOLDI09,05,2009-08-12,19:44:00,19:55:00
BOLDI09,06,2009-08-12,23:46:00,00:00:00
BOLDI09,B3,2009-08-12,21:36:00,21:48:00
BOLDI09,BLANK,2009-08-12,00:00:00,00:00:00
BOLDI09,C1,2009-08-12,22:31:00,22:44:00
