"staSeq","locationName","locationDescription","locationType","ylat","xlong","sourceMapScale","horizCollectMethod","horizRefDatum","stateCd","munName","subBasin","adbSegID","hydroID","createDate","createUser","lastUpdateDate","lastUpdateUser"
17248,"A2","Willets Point","Estuary",40.800833,-73.787333,24000,"GPS-Unspecified","NAD83","NY","NEW YORK, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17249,"A4","Execution Rocks","Estuary",40.8725,-73.734167,24000,"GPS-Unspecified","NAD83","NY","NORTH HEMPSTEAD, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17216,"38","unknown","Estuary",40.8793,-73.7188,24000,"Unknown","NAD83","NY","NORTH HEMPSTEAD, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2010-03-12 00:00:00","BeaucheneM"
17250,"B3","Rye Beach","Estuary",40.918333,-73.642833,24000,"GPS-Unspecified","NAD83","NY","OYSTER BAY, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17256,"15","Smithtown Bay","Estuary",40.931333,-73.221167,24000,"GPS-Unspecified","NAD83","NY","SMITHTOWN, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17218,"02","Bayville Bridge","Estuary",40.934667,-73.600667,24000,"GPS-Unspecified","NAD83","NY","OYSTER BAY, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17220,"04","Oyster Bay/ Lloyd Point","Estuary",40.937833,-73.519333,24000,"GPS-Unspecified","NAD83","NY","OYSTER BAY, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17223,"07","South Norwalk","Estuary",40.950333,-73.425333,24000,"GPS-Unspecified","NAD83","CT","NORWALK",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17225,"10","Northport Bay","Estuary",40.951667,-73.3325,24000,"GPS-Unspecified","NAD83","NY","HUNTINGTON, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17251,"C1","Oyster Bay","Estuary",40.955833,-73.580333,24000,"GPS-Unspecified","NAD83","NY","OYSTER BAY, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17222,"06","Lloyd Point","Estuary",40.961167,-73.476667,24000,"GPS-Unspecified","NAD83","NY","OYSTER BAY, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17217,"01","Great Captain Island/ Greenwich","Estuary",40.963333,-73.623667,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",0,"CT-W3_014","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17219,"03","Stamford Harbor","Estuary",40.979333,-73.560667,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",0,"CT-W4_005","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17236,"25","North Shore Beach","Estuary",40.981,-72.918167,24000,"GPS-Unspecified","NAD83","NY","BROOKHAVEN, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17252,"C2","Stamford","Estuary",40.984333,-73.502167,24000,"GPS-Unspecified","NAD83","CT","STAMFORD",0,"CT-W4_004","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17228,"14","Outer Smithtown Bay","Estuary",40.9915,-73.218833,24000,"GPS-Unspecified","NAD83","NY","SMITHTOWN, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
